,log_moneyness,log_ttm,impl_volatility,iv_deviation,abs_delta,rel_spread,log_volume,log_oi,vix_close,rv_21d,ret_5d,ret_21d,atm_iv,iv_skew
log_moneyness,1.0,-0.0006520606597552919,-0.2215979685270824,-0.16437023222671163,-0.04611679409206813,-0.036525223269209324,0.009561870662421947,-0.015733589318981656,0.015896641281233456,0.01409433860601537,-0.009557308137327965,-0.006244883241733217,0.00966874963556961,0.006735377872901956
log_ttm,-0.0006520606597552919,1.0,0.007000084259659429,-0.0024230750442321503,-0.09050532995427411,0.011114919195454369,-0.01936560569467677,-0.014125857183479605,-0.01998053666794119,0.010220381890034031,-0.03830883702782315,-0.03376602788927169,0.0010288204272284407,0.01613249304424712
impl_volatility,-0.2215979685270824,0.007000084259659429,1.0,0.3688493436500923,-0.055812274959080775,0.00399613308787546,0.012307227554986614,0.021373286023284314,0.69978956030767,0.3206705289733015,-0.28338792808627256,-0.5216123622777095,0.9380665661030767,0.12298619779257981
iv_deviation,-0.16437023222671163,-0.0024230750442321503,0.3688493436500923,1.0,-0.016102027058421554,0.021205855943303764,0.024912782713309472,0.03402578420694774,0.22836155177248135,-0.7621244991982407,-0.27765099624663453,-0.29420240177501056,0.3315764527252333,0.005679665950318746
abs_delta,-0.04611679409206813,-0.09050532995427411,-0.055812274959080775,-0.016102027058421554,1.0,-0.17780877545010798,-0.012191701977260496,0.008603025940961352,-0.013340509841956144,-0.022458067852845508,0.009598834270355761,0.0195475738829157,-0.02201913524573582,-0.021695445340119995
rel_spread,-0.036525223269209324,0.011114919195454369,0.00399613308787546,0.021205855943303764,-0.17780877545010798,1.0,-0.007263258112630018,-0.007055792972428533,-0.010344192494685104,-0.01914074908523447,-0.011706390871113987,-0.0018709773314623888,-0.01592725512798002,-0.010294369346123487
log_volume,0.009561870662421947,-0.01936560569467677,0.012307227554986614,0.024912782713309472,-0.012191701977260496,-0.007263258112630018,1.0,0.8196898478778196,0.01709886062921032,-0.018491313196429437,-0.00993865396661362,-0.003780925593280823,0.017168550894997688,-0.009601142254333362
log_oi,-0.015733589318981656,-0.014125857183479605,0.021373286023284314,0.03402578420694774,0.008603025940961352,-0.007055792972428533,0.8196898478778196,1.0,0.015570916897829858,-0.02060400940586616,-0.0051169191686351425,-0.004813865853301715,0.020564831723818337,-0.013006056195787931
vix_close,0.015896641281233456,-0.01998053666794119,0.69978956030767,0.22836155177248135,-0.013340509841956144,-0.010344192494685104,0.01709886062921032,0.015570916897829858,1.0,0.2544821210880341,-0.18275514923086564,-0.4058371224252286,0.7222995077305685,0.12976895923156387
rv_21d,0.01409433860601537,0.010220381890034031,0.3206705289733015,-0.7621244991982407,-0.022458067852845508,-0.01914074908523447,-0.018491313196429437,-0.02060400940586616,0.2544821210880341,1.0,0.08853245532961779,-0.06352084855410749,0.31558117797134205,0.08100171013007929
ret_5d,-0.009557308137327965,-0.03830883702782315,-0.28338792808627256,-0.27765099624663453,0.009598834270355761,-0.011706390871113987,-0.00993865396661362,-0.0051169191686351425,-0.18275514923086564,0.08853245532961779,1.0,0.5372197101637234,-0.3058664314314227,0.020497027171030045
ret_21d,-0.006244883241733217,-0.03376602788927169,-0.5216123622777095,-0.29420240177501056,0.0195475738829157,-0.0018709773314623888,-0.003780925593280823,-0.004813865853301715,-0.4058371224252286,-0.06352084855410749,0.5372197101637234,1.0,-0.5404015056761153,-0.07914026565828919
atm_iv,0.00966874963556961,0.0010288204272284407,0.9380665661030767,0.3315764527252333,-0.02201913524573582,-0.01592725512798002,0.017168550894997688,0.020564831723818337,0.7222995077305685,0.31558117797134205,-0.3058664314314227,-0.5404015056761153,1.0,0.004916359345121851
iv_skew,0.006735377872901956,0.01613249304424712,0.12298619779257981,0.005679665950318746,-0.021695445340119995,-0.010294369346123487,-0.009601142254333362,-0.013006056195787931,0.12976895923156387,0.08100171013007929,0.020497027171030045,-0.07914026565828919,0.004916359345121851,1.0
